,Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
85,11095739,2,4/29/2016 0:00,4/29/2016 0:09,1,1.34,-73.98124695,40.764663696289055,1,N,-73.99650574,40.75817108154297,2,8,0.5,0.5,0,0,0.3,9.3
86,11095740,2,4/29/2016 0:00,4/29/2016 0:28,5,9,-73.98652649,40.75740051269531,1,N,-73.93950653,40.83671951293945,1,30,0.5,0.5,7.82,0,0.3,39.12
87,11095741,2,4/29/2016 0:00,4/29/2016 0:20,1,5.13,-73.979599,40.75811004638672,1,N,-73.93856812,40.72611999511719,1,18,0.5,0.5,3.86,0,0.3,23.16
88,11095742,2,4/29/2016 0:00,4/29/2016 0:01,1,0.54,-73.9641037,40.79771041870117,1,N,-73.96989441,40.79397201538085,1,3.5,0.5,0.5,0.96,0,0.3,5.76
89,11095743,2,4/29/2016 0:00,4/29/2016 0:14,1,3.33,-73.97518921,40.76538848876953,1,N,-73.99188995,40.72656631469727,1,12.5,0.5,0.5,1,0,0.3,14.8
90,11095744,2,4/29/2016 0:00,4/29/2016 0:06,3,1.17,-73.97834778,40.75214385986328,1,N,-73.96686554,40.75994110107422,1,6.5,0.5,0.5,1.56,0,0.3,9.36
91,11095745,2,4/29/2016 0:00,4/29/2016 0:09,1,1.72,-73.98874664,40.746089935302734,1,N,-73.98455811,40.72718048095703,1,8.5,0.5,0.5,1.96,0,0.3,11.76
92,11095746,2,4/29/2016 0:00,4/29/2016 0:09,1,1.74,-74.00038147,40.72869110107422,1,N,-74.01091766,40.71881103515625,2,9,0.5,0.5,0,0,0.3,10.3
93,11095747,2,4/29/2016 0:00,4/29/2016 0:07,2,1.62,-73.86669159,40.67877960205078,1,N,-73.89732361,40.67430114746094,2,7.5,0.5,0.5,0,0,0.3,8.8
94,11095748,2,4/29/2016 0:00,4/29/2016 0:21,1,9.12,-73.86344147,40.769020080566406,1,N,-73.96833801,40.76339721679688,1,27.5,0.5,0.5,8.64,0,0.3,37.44
95,11095749,2,4/29/2016 0:00,4/29/2016 0:16,5,4.45,-73.98499298,40.76045989990234,1,N,-73.93572998,40.79610061645508,1,15,0.5,0.5,3.26,0,0.3,19.56
96,11095750,1,4/29/2016 0:00,4/29/2016 0:20,2,4.9,-74.00062561,40.73876953,1,N,-73.97324371,40.79010772705078,1,19,0.5,0.5,4.05,0,0.3,24.35
97,11095751,2,4/29/2016 0:00,4/29/2016 0:02,2,0.44,-73.98075104,40.76901245117188,1,N,-73.98275757,40.76282883,1,3.5,0.5,0.5,0.96,0,0.3,5.76
98,11095752,2,4/29/2016 0:00,4/29/2016 0:07,2,1.15,-73.98412323,40.75155258178711,1,N,-73.97315979,40.75679016113281,2,6.5,0.5,0.5,0,0,0.3,7.8
99,11095753,2,4/29/2016 0:00,4/29/2016 0:13,1,2.68,-73.98722839,40.756568908691406,1,N,-73.98338318,40.72566986083984,2,11.5,0.5,0.5,0,0,0.3,12.8
